index,title,description,group,sequence
client_logoff,Log Off Per Client,Số lần ra mạng của một KHG (tính trung bình)_Tính tổng số lần ra vào mạng của từng KHG trong 1 tuần_Tính trung bình số lần ra vào mạng trong tập KHG có kết nối,Connectivity,4
client_reject,Reject Per Client,Số lần bị từ chối kết nối mạng của một KHG (tính trung bình)_Tính tổng số lần ra vào mạng của từng KHG trong 1 tuần_Tính trung bình số lần ra vào mạng trong tập KHG có kết nối,Connectivity,5
client_signin,Sign In Per Client,Số lần vào mạng của một KHG (tính trung bình)_Tính tổng số lần ra vào mạng của từng KHG trong 1 tuần_Tính trung bình số lần ra vào mạng trong tập KHG có kết nối,Connectivity,3
lofi_error,LOFI Per Client,Số lỗi LOFI của một KHG (tính trung bình)_Tính tổng số lỗi SF/LOFI của từng KHG trong 1 tuần_Tính trung bình trong tập KHG có lỗi SF/LOFI,Client Error,2
sf_error,SF Per Client,Số lỗi SF của một KHG (tính trung bình)_Tính tổng số lỗi SF/LOFI của từng KHG trong 1 tuần_Tính trung bình trong tập KHG có lỗi SF/LOFI,Client Error,1
connect_time,Time to Reconnect Per Client (hours),Thời gian để một KHG kết nối mạng trở lại sau khi đã ra mạng (tính trung bình theo giờ)_Tính khoảng cách thời gian sign in lại sau mỗi lần log off của từng KHG trong 1 tuần_Tính thời gian trung bình trong tập KHG,Connectivity,6
kib_bras,Error Per BRAS,Số lỗi phát sinh của một thiết bị BRAS (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,3
kib_cgnat,Error Per CGNAT,Số lỗi phát sinh của một thiết bị CGNAT (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,9
kib_gw,Error Per Gateway,Số lỗi phát sinh của một thiết bị Gateway (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,11
kib_pe,Error Per PE Device,Số lỗi phát sinh của một thiết bị PE (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,7
kib_smc,Error Per SMC Device,Số lỗi phát sinh của một thiết bị SMC (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,5
inf_total,Error Per OLT Device,Số lỗi phát sinh của một thiết bị OLT (tính trung bình)_Tính tổng số lỗi của mỗi thiết bị trong 1 tuần (từ mức độ Error trở lên)_Tính trung bình số lỗi theo loại thiết bị trong tập thiết bị tương ứng,Device Error,1
lost_signal,Broken Cable Per OLT Device,Số trường hợp đứt cáp tập điểm cấp 2 của một thiết bị OLT (tính trung bình)_Tính tổng số lần đứt cáp cấp 2 của mỗi thiết bị OLT trong 1 tuần_Tính trung bình số lần đứt cáp trong tập thiết bị OLT,Client Error,3
ops_bras,Alert Per BRAS,Số cảnh báo Critical phát sinh của một thiết bị BRAS (tính trung bình)_Tính tổng số cảnh báo CRITICAL của mỗi thiết bị trong 1 tuần_Tính trung bình số cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,7
ops_cgnat,Alert Per CGNAT,Số cảnh báo Critical phát sinh của một thiết bị CGNAT (tính trung bình)_Tính tổng số cảnh báo CRITICAL của mỗi thiết bị trong 1 tuần_Tính trung bình số cảnh báo theo loại thiết bị trong tập thiết bị tương ứng,Service Monitor,13
