location,province,region
Ha Noi,DAH,Vung 1
Ha Noi,HNI,Vung 1
Ha Noi,STY,Vung 1
Bac Giang,BGG,Vung 2
Bac Ninh,BNH,Vung 2
Cao Bang,CBG,Vung 2
Dien Bien,DBN,Vung 2
Hoa Binh,HBH,Vung 2
Lang Son,LSN,Vung 2
Lao Cai,LCI,Vung 2
Phu Tho,PTO,Vung 2
Quang Ninh,QNH,Vung 2
Son La,SLA,Vung 2
Thai Nguyen,TNN,Vung 2
Tuyen Quang,TQG,Vung 2
Vinh Phuc,VPC,Vung 2
Yen Bai,YBI,Vung 2
Ha Nam,HNM,Vung 3
Ha Tinh,HTH,Vung 3
Hai Duong,HDG,Vung 3
Hai Phong,HPG,Vung 3
Hung Yen,HYN,Vung 3
Nam Dinh,NDH,Vung 3
Nghe An,NAN,Vung 3
Ninh Binh,NBH,Vung 3
Thai Binh,TBH,Vung 3
Thanh Hoa,THA,Vung 3
Binh Dinh,BDH,Vung 4
Da Nang,DNG,Vung 4
Dak Lak,DLK,Vung 4
Gia Lai,GLI,Vung 4
Hue,HUE,Vung 4
Khanh Hoa,NTG,Vung 4
Khanh Hoa,KHA,Vung 4
Kon Tum,KTM,Vung 4
Phu Yen,PYN,Vung 4
Quang Binh,QBH,Vung 4
Quang Nam,QNM,Vung 4
Quang Ngai,QNI,Vung 4
Quang Tri,QTI,Vung 4
Ho Chi Minh,HCM,Vung 5
Ba Ria,VTU,Vung 6
Ba Ria,BRA,Vung 6
Ba Ria,BRU,Vung 6
Binh Duong,BDG,Vung 6
Binh Phuoc,BPC,Vung 6
Binh Thuan,BTN,Vung 6
Binh Thuan,LGI,Vung 6
Dong Nai,DNI,Vung 6
Lam Dong,BLC,Vung 6
Lam Dong,LDG,Vung 6
Ninh Thuan,NTN,Vung 6
Tay Ninh,TNH,Vung 6
An Giang,AGG,Vung 7
Bac Lieu,BLU,Vung 7
Ben Tre,BTE,Vung 7
Ca Mau,CMU,Vung 7
Can Tho,CTO,Vung 7
Dong Thap,DTP,Vung 7
Hau Giang,HGG,Vung 7
Kien Giang,KGG,Vung 7
Long An,LAN,Vung 7
Soc Trang,STG,Vung 7
Tien Giang,TGG,Vung 7
Tra Vinh,TVH,Vung 7
Vinh Long,VLG,Vung 7
Germany,GER,International
Hong Kong,HKG,International
Japan,JPN,International
Singapore,SGP,International
USA,USA,International
