location,province,region
An Giang,AGG,Vung 7
Binh Duong,BDG,Vung 6
Binh Dinh,BDH,Vung 4
Bac Giang,BGG,Vung 2
Ben Luc,BLC,Vung 7
Bac Lieu,BLU,Vung 7
Bac Ninh,BNH,Vung 2
Binh Phuoc,BPC,Vung 6
Ben Tre,BTE,Vung 7
Binh Thuan,BTN,Vung 6
Cao Bang,CBG,Vung 2
Ca Mau,CMU,Vung 7
Can Tho,CTO,Vung 7
Dong Anh,DAH,Vung 2
Dien Bien,DBN,Vung 2
Dak Lak,DLK,Vung 4
Da Nang,DNG,Vung 4
Dong Nai,DNI,Vung 6
Dong Thap,DTP,Vung 7
Gia Lai,GLI,Vung 4
Hoa Binh,HBH,Vung 2
Ho Chi Minh,HCM,Vung 5
Hai Duong,HDG,Vung 3
Hau Giang,HGG,Vung 7
Ha Noi,HNI,Vung 1
Ha Nam,HNM,Vung 3
Hai Phong,HPG,Vung 3
Ha Tinh,HTH,Vung 3
Hue,HUE,Vung 4
Hung Yen,HYN,Vung 3
Kien Giang,KGG,Vung 7
Kon Tum,KTM,Vung 4
Long An,LAN,Vung 7
Lao Cai,LCI,Vung 2
Lam Dong,LDG,Vung 6
La Gi,LGI,Vung 6
Lang Son,LSN,Vung 2
Nghe An,NAN,Vung 3
Ninh Binh,NBH,Vung 3
Nam Dinh,NDH,Vung 3
Nha Trang,NTG,Vung 4
Khanh Hoa,KHA,Vung 4
Ninh Thuan,NTN,Vung 6
Phu Tho,PTO,Vung 2
Phu Yen,PYN,Vung 4
Quang Binh,QBH,Vung 4
Quang Ninh,QNH,Vung 2
Quang Ngai,QNI,Vung 4
Quang Nam,QNM,Vung 4
Quang Tri,QTI,Vung 4
Son La,SLA,Vung 2
Soc Trang,STG,Vung 7
Son Tay,STY,Vung 2
Thai Binh,TBH,Vung 3
Tien Giang,TGG,Vung 7
Thanh Hoa,THA,Vung 3
Tay Ninh,TNH,Vung 6
Thai Nguyen,TNN,Vung 2
Tuyen Quang,TQG,Vung 2
Tra Vinh,TVH,Vung 7
Vinh Long,VLG,Vung 7
Vinh Phuc,VPC,Vung 2
Vung Tau,VTU,Vung 6
Yen Bai,YBI,Vung 2
Ba Ria,BRA,Vung 6
Ba Ria,BRU,Vung 6
Germany,GER,International
Hong Kong,HKG,International
Japan,JPN,International
Singapore,SGP,International
USA,USA,International
